"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MS4A1",0,3.75204616256003,0.85,0.084,0,"0","MS4A1"
"CD79A",0,3.58993076306048,0.923,0.177,0,"0","CD79A"
"BANK1",0,2.42886192302564,0.789,0.093,0,"0","BANK1"
"HLA-DRA",0,1.94495899450345,0.99,0.426,0,"0","HLA-DRA"
"AFF3",0,1.46020662007596,0.731,0.17,0,"0","AFF3"
"LINC00926",0,3.80593873781156,0.602,0.049,0,"0","LINC00926"
"HLA-DQB1",0,1.80040547322632,0.831,0.283,0,"0","HLA-DQB1"
"FCER2",0,4.48385741693582,0.538,0.038,0,"0","FCER2"
"BLK",0,2.65319634116851,0.582,0.082,0,"0","BLK"
"HLA-DQA1",0,1.81958711264647,0.902,0.403,0,"0","HLA-DQA1"
"LTB",0,1.93116384442889,0.733,0.235,0,"0","LTB"
"CD19",0,3.93472996416522,0.558,0.063,0,"0","CD19"
"HLA-DPB1",0,1.57826325171757,0.941,0.448,0,"0","HLA-DPB1"
"CD83",0,1.81604901470085,0.755,0.267,0,"0","CD83"
"CD79B",0,3.82334924409154,0.579,0.095,0,"0","CD79B"
"HLA-DPA1",0,1.56637363890866,0.944,0.474,0,"0","HLA-DPA1"
"FCMR",0,2.36080617420706,0.665,0.205,0,"0","FCMR"
"SELL",0,2.49806655575859,0.604,0.144,0,"0","SELL"
"HLA-DRB1",0,1.46393068286746,0.951,0.498,0,"0","HLA-DRB1"
"FCRL1",0,2.82156471934652,0.496,0.052,0,"0","FCRL1"
"ARHGAP24",0,1.62400415215122,0.609,0.168,0,"0","ARHGAP24"
"VPREB3",0,4.59548151369225,0.462,0.027,0,"0","VPREB3"
"IRF8",0,2.4406606930482,0.561,0.128,0,"0","IRF8"
"RALGPS2",0,1.86353833315983,0.603,0.173,0,"0","RALGPS2"
"HLA-DMA",0,1.60921297093604,0.721,0.293,0,"0","HLA-DMA"
"RCSD1",0,2.16424857579035,0.778,0.355,0,"0","RCSD1"
"LYN",0,1.30265625969991,0.686,0.263,0,"0","LYN"
"ADAM28",0,2.31826168367315,0.546,0.13,0,"0","ADAM28"
"CD37",0,2.56179956102327,0.962,0.547,0,"0","CD37"
"NIBAN3",0,3.20132317178013,0.457,0.044,0,"0","NIBAN3"
"CD52",0,1.49881297745248,0.923,0.528,0,"0","CD52"
"FCRLA",0,4.35884748317194,0.432,0.037,0,"0","FCRLA"
"CD22",0,2.86749812918598,0.452,0.058,0,"0","CD22"
"HLA-DRB5",0,1.17825414296531,0.716,0.323,0,"0","HLA-DRB5"
"MEF2C",0,1.69669249071144,0.711,0.322,0,"0","MEF2C"
"LINC02397",0,3.54602614516595,0.415,0.034,0,"0","LINC02397"
"NCF1",0,2.09970061227786,0.662,0.282,0,"0","NCF1"
"BACH2",0,0.657072268704517,0.614,0.236,0,"0","BACH2"
"LAPTM5",0,1.84564976886345,0.936,0.559,0,"0","LAPTM5"
"PTPRCAP",0,1.11870272763177,0.792,0.422,0,"0","PTPRCAP"
"SNX2",0,2.12698318126141,0.614,0.245,0,"0","SNX2"
"TCL1A",0,4.61027866608245,0.388,0.021,0,"0","TCL1A"
"HVCN1",0,3.00777485126707,0.46,0.094,0,"0","HVCN1"
"MARCH1",0,1.79064474183459,0.509,0.146,0,"0","MARCH1"
"PAX5",0,2.31939571514233,0.409,0.051,0,"0","PAX5"
"GNG7",0,1.29377994562479,0.572,0.218,0,"0","GNG7"
"PLEKHG1",0,1.63698229332749,0.459,0.106,0,"0","PLEKHG1"
"HLA-DMB",0,1.94077724205138,0.498,0.149,0,"0","HLA-DMB"
"SWAP70",0,2.0764074712231,0.483,0.14,0,"0","SWAP70"
"CXCR4",0,0.983623167020478,0.873,0.531,0,"0","CXCR4"
"TNFRSF13C",0,3.26910999469129,0.385,0.048,0,"0","TNFRSF13C"
"IGHD",0,3.4083968862728,0.366,0.031,0,"0","IGHD"
"HLA-DOB",0,3.67996099979841,0.392,0.06,0,"0","HLA-DOB"
"SMIM14",0,2.5322682053179,0.484,0.153,0,"0","SMIM14"
"CCR7",0,1.9604492713448,0.428,0.097,0,"0","CCR7"
"RUBCNL",0,2.34856916660068,0.399,0.071,0,"0","RUBCNL"
"LIMD2",0,1.44581954797852,0.759,0.431,0,"0","LIMD2"
"SPIB",0,3.71420986519829,0.358,0.033,0,"0","SPIB"
"MGAT5",0,0.769145769727122,0.526,0.204,0,"0","MGAT5"
"P2RX5",0,2.69108586718505,0.398,0.078,0,"0","P2RX5"
"CXCR5",0,3.75755035231698,0.34,0.026,0,"0","CXCR5"
"ST6GAL1",0,1.28789684780838,0.585,0.274,0,"0","ST6GAL1"
"BCL11A",0,2.03297040766888,0.371,0.061,0,"0","BCL11A"
"CD24",0,4.47687629949489,0.319,0.015,0,"0","CD24"
"AC119396.1",0,2.26004848953951,0.38,0.079,0,"0","AC119396.1"
"CD40",0,2.59859201968352,0.404,0.104,0,"0","CD40"
"SYNGR2",0,1.92247503756192,0.69,0.394,0,"0","SYNGR2"
"CD72",0,3.09036868643565,0.361,0.066,0,"0","CD72"
"LY86",0,2.0594433354993,0.405,0.117,0,"0","LY86"
"LY9",0,1.78025979456649,0.486,0.203,0,"0","LY9"
"EBF1",0,0.821636939835492,0.449,0.167,0,"0","EBF1"
"BLNK",0,2.46439273267831,0.38,0.1,0,"0","BLNK"
"AC004448.2",0,2.68695309697261,0.404,0.127,0,"0","AC004448.2"
"TMEM243",0,1.64681458169294,0.532,0.259,0,"0","TMEM243"
"WDFY4",0,1.60791463259102,0.363,0.094,0,"0","WDFY4"
"HLA-DOA",0,2.72336483919344,0.327,0.064,0,"0","HLA-DOA"
"PARP15",0,1.69458483712931,0.367,0.105,0,"0","PARP15"
"PTPN6",0,1.58893688458871,0.524,0.262,0,"0","PTPN6"
"POU2F2",0,1.63677700304097,0.442,0.185,0,"0","POU2F2"
"LINC01857",0,5.40572384288762,0.269,0.013,0,"0","LINC01857"
"COL19A1",0,2.04988223033761,0.29,0.039,0,"0","COL19A1"
"BTK",0,2.70157890600044,0.325,0.081,0,"0","BTK"
"CD82",0,1.7894114357353,0.387,0.146,0,"0","CD82"
"SP100",0,1.18516139879901,0.693,0.455,0,"0","SP100"
"LAT2",0,1.97990975070507,0.345,0.113,0,"0","LAT2"
"PKIG",0,2.06003493292527,0.33,0.1,0,"0","PKIG"
"CYB561A3",0,2.32036350682742,0.328,0.1,0,"0","CYB561A3"
"TXNIP",0,1.14649506468064,0.884,0.657,0,"0","TXNIP"
"CR2",0,3.42919021618291,0.251,0.026,0,"0","CR2"
"AC025164.1",0,1.80909919980312,0.326,0.105,0,"0","AC025164.1"
"AC120193.1",0,2.08431917891786,0.273,0.053,0,"0","AC120193.1"
"STAP1",0,2.17423685156042,0.278,0.062,0,"0","STAP1"
"CD74",0,2.22012968674518,0.999,0.802,0,"0","CD74"
"TSPAN13",0,2.74929414385303,0.252,0.058,0,"0","TSPAN13"
"APOO",0,1.35755544938572,0.827,0.635,0,"0","APOO"
"BTG1",0,1.21577295105664,0.95,0.769,0,"0","BTG1"
"EEF1B2",0,1.54043303978207,0.924,0.751,0,"0","EEF1B2"
"EEF1G",0,1.42609736885347,0.913,0.743,0,"0","EEF1G"
"RPS5",0,1.6067118492582,0.962,0.795,0,"0","RPS5"
"RPSA",0,1.51100100451279,0.956,0.794,0,"0","RPSA"
"RPL10A",0,1.26941490073187,0.947,0.79,0,"0","RPL10A"
"RPS11",0,1.13971882961008,0.898,0.755,0,"0","RPS11"
"RPL15",0,1.11109740877324,0.966,0.834,0,"0","RPL15"
"RPL23A",0,1.10996549926341,0.961,0.829,0,"0","RPL23A"
"RPL27",0,1.0194594249168,0.873,0.742,0,"0","RPL27"
"RPL5",0,1.0399014173065,0.962,0.836,0,"0","RPL5"
"RPL13A",0,1.21801223961928,0.937,0.811,0,"0","RPL13A"
"RPL7",0,0.885953211284099,0.844,0.721,0,"0","RPL7"
"RPL22",0,0.966342481721286,0.935,0.814,0,"0","RPL22"
"UBA52",0,0.862232200597167,0.903,0.783,0,"0","UBA52"
"RACK1",0,1.08801623240306,0.951,0.833,0,"0","RACK1"
"RPL37A",0,0.928232261058261,0.942,0.825,0,"0","RPL37A"
"RPL17",0,1.01117513268824,0.944,0.83,0,"0","RPL17"
"RPS25",0,1.16506210494434,0.971,0.859,0,"0","RPS25"
"RPL4",0,0.923345340104136,0.885,0.773,0,"0","RPL4"
"RPS9",0,1.02199626417017,0.957,0.846,0,"0","RPS9"
"RPL35A",0,0.885924538113788,0.971,0.862,0,"0","RPL35A"
"RPL29",0,1.19152090310611,0.972,0.864,0,"0","RPL29"
"RPL9",0,0.959563628181062,0.919,0.812,0,"0","RPL9"
"RPS6",0,1.22773607409622,0.979,0.872,0,"0","RPS6"
"RPS13",0,1.0321393753875,0.972,0.865,0,"0","RPS13"
"RPL35",0,0.831355653779397,0.923,0.817,0,"0","RPL35"
"RPLP0",0,0.929876460543098,0.972,0.867,0,"0","RPLP0"
"RPL14",0,0.804435224128302,0.97,0.867,0,"0","RPL14"
