"Cluster_ID","Rank","Gene","pct.1","pct.2","p_val_adj"
"0",5.40572384288762,"LINC01857",0.269,0.013,0
"0",4.61027866608245,"TCL1A",0.388,0.021,0
"0",4.59548151369225,"VPREB3",0.462,0.027,0
"0",4.48385741693582,"FCER2",0.538,0.038,0
"0",4.47687629949489,"CD24",0.319,0.015,0
"1",4.53480129423609,"NKG7",0.979,0.112,0
"1",4.5008717530004,"GNLY",0.27,0.03,0
"1",4.47082094821516,"XCL2",0.524,0.036,0
"1",4.34613175336509,"GZMH",0.731,0.054,0
"1",4.23396573159357,"KLRC2",0.358,0.023,0
"2",4.67052437392244,"CD40LG",0.424,0.017,0
"2",3.35666456551509,"KLRB1",0.55,0.075,0
"2",2.93730077544119,"IL7R",0.902,0.153,0
"2",2.64721700077423,"PRKCQ-AS1",0.339,0.053,0
"2",2.51369568111751,"CTLA4",0.263,0.054,0
"3",8.71901634430769,"S100A12",0.601,0.006,0
"3",8.16658176298001,"S100A8",0.821,0.04,0
"3",7.51330972754414,"S100A9",0.834,0.046,0
"3",7.33420263688652,"SERPINB2",0.284,0.005,0
"3",6.98655050819375,"MCEMP1",0.272,0.005,0
"4",7.97176092037595,"IGKV1-9",0.341,0.057,0
"4",7.80227662023545,"IGKV3D-20",0.272,0.01,0
"4",6.49317764579619,"IGKV3-11",0.493,0.111,0
"4",6.4244908225105,"IGKV1-12",0.257,0.033,0
"4",6.42387868842831,"IGKV1-17",0.279,0.039,0
"5",4.4779562958935,"BTBD11",0.257,0.04,0
"5",4.09412370688246,"TXK",0.347,0.059,0
"5",4.00313194577832,"APBA2",0.375,0.064,0
"5",3.8884221728174,"PRKCA",0.419,0.108,0
"5",3.83188029059601,"LEF1",0.305,0.064,0
"6",7.7165380583754,"APOD",0.795,0.021,0
"6",7.6368613973872,"CPZ",0.315,0.002,0
"6",7.56074529769488,"LUM",0.818,0.014,0
"6",7.48466275224235,"PDGFRL",0.638,0.006,0
"6",7.36394606574466,"DCN",0.866,0.036,0
"7",2.28570437869618,"CD8B",0.558,0.117,0
"7",2.19809990066942,"CD8A",0.692,0.142,0
"7",2.1281117327981,"GZMK",0.453,0.127,9.75740412271887e-300
"7",2.02933878464779,"LYAR",0.377,0.143,6.10969810699439e-162
"7",2.02147884828962,"LINC01871",0.491,0.143,2.66118753451044e-310
"8",7.62475077475807,"FOXS1",0.268,0.001,0
"8",7.17644407139916,"RERGL",0.919,0.014,0
"8",6.81773038512687,"MUSTN1",0.95,0.026,0
"8",6.81301003491025,"TBX2-AS1",0.523,0.004,0
"8",6.77567270239464,"PLN",0.897,0.012,0
"9",4.95024088055298,"LIX1-AS1",0.364,0.034,0
"9",4.80480586811997,"COL19A1",0.627,0.051,0
"9",4.79477364445854,"KHDRBS2",0.562,0.052,0
"9",4.70774627276881,"AFF3",0.966,0.22,0
